"interval_name","photic","genus_counts","bin","rank","max_ma","mid_ma","min_ma","duration_myr","abbr","colour","font"
"Rhuddanian","Blue mesophotic",3,18,"international ages",443.8,442.3,440.8,3,"Rhu","#A6DCB5","black"
"Rhuddanian","Brown mesophotic",12,18,"international ages",443.8,442.3,440.8,3,"Rhu","#A6DCB5","black"
"Rhuddanian","Euphotic",70,18,"international ages",443.8,442.3,440.8,3,"Rhu","#A6DCB5","black"
"Rhuddanian","Unknown",82,18,"international ages",443.8,442.3,440.8,3,"Rhu","#A6DCB5","black"
"Roadian","Blue mesophotic",4,44,"international ages",273.01,269.955,266.9,6.11000000000001,"Ro","#FB8069","black"
"Roadian","Euphotic",4,44,"international ages",273.01,269.955,266.9,6.11000000000001,"Ro","#FB8069","black"
"Roadian","Unknown",37,44,"international ages",273.01,269.955,266.9,6.11000000000001,"Ro","#FB8069","black"
"Rupelian","Brown mesophotic",46,86,"international ages",33.9,30.86,27.82,6.08,"Ru","#FED99A","black"
"Rupelian","Euphotic",73,86,"international ages",33.9,30.86,27.82,6.08,"Ru","#FED99A","black"
"Rupelian","Unknown",31,86,"international ages",33.9,30.86,27.82,6.08,"Ru","#FED99A","black"
"Sakmarian","Brown mesophotic",2,41,"international ages",293.52,291.81,290.1,3.41999999999996,"Sak","#E36F5C","black"
"Sakmarian","Euphotic",7,41,"international ages",293.52,291.81,290.1,3.41999999999996,"Sak","#E36F5C","black"
"Sakmarian","Unknown",19,41,"international ages",293.52,291.81,290.1,3.41999999999996,"Sak","#E36F5C","black"
"Sandbian","Blue mesophotic",18,15,"international ages",458.4,455.7,453,5.39999999999998,"Sand","#8CD094","black"
"Sandbian","Brown mesophotic",16,15,"international ages",458.4,455.7,453,5.39999999999998,"Sand","#8CD094","black"
"Sandbian","Euphotic",42,15,"international ages",458.4,455.7,453,5.39999999999998,"Sand","#8CD094","black"
"Sandbian","Unknown",39,15,"international ages",458.4,455.7,453,5.39999999999998,"Sand","#8CD094","black"
"Santonian","Brown mesophotic",34,76,"international ages",86.3,84.95,83.6,2.7,"Sant","#D9EF74","black"
"Santonian","Euphotic",54,76,"international ages",86.3,84.95,83.6,2.7,"Sant","#D9EF74","black"
"Santonian","Unknown",20,76,"international ages",86.3,84.95,83.6,2.7,"Sant","#D9EF74","black"
"Selandian","Brown mesophotic",13,80,"international ages",61.6,60.4,59.2,2.4,"Sel","#FEBF65","black"
"Selandian","Euphotic",19,80,"international ages",61.6,60.4,59.2,2.4,"Sel","#FEBF65","black"
"Selandian","Unknown",22,80,"international ages",61.6,60.4,59.2,2.4,"Sel","#FEBF65","black"
"Serpukhovian","Blue mesophotic",6,35,"international ages",330.9,327.05,323.2,7.69999999999999,"Serp","#BFC26B","black"
"Serpukhovian","Brown mesophotic",17,35,"international ages",330.9,327.05,323.2,7.69999999999999,"Serp","#BFC26B","black"
"Serpukhovian","Euphotic",20,35,"international ages",330.9,327.05,323.2,7.69999999999999,"Serp","#BFC26B","black"
"Serpukhovian","Unknown",35,35,"international ages",330.9,327.05,323.2,7.69999999999999,"Serp","#BFC26B","black"
"Serravallian","Brown mesophotic",42,91,"international ages",13.82,12.725,11.63,2.19,"Serr","#FFFF59","black"
